,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_c1,param_c2,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
9,16.26508927345276,1.1311370933361131,3.277618964513143,0.2513437669277251,0.0,0.9,"{'c1': 0.0, 'c2': 0.9}",0.6304444642379976,0.6087890625,0.5669291338582677,0.6020542201987551,0.026363710840579556,121,0.6118817430292841,0.5979491277134106,0.6486789020778434,0.619503257606846,0.021400048521885148
8,14.737711826960245,0.9632319333915766,3.285166104634603,0.2376581927903806,0.0,0.8,"{'c1': 0.0, 'c2': 0.8}",0.6304444642379976,0.608992823316897,0.5668136416809142,0.602083643078603,0.026432593182113676,120,0.6119141582794292,0.5980424795259338,0.6486789020778434,0.6195451799610688,0.021364865100488774
2,16.761301279067993,0.8008065319144536,3.277214845021566,0.26305651214368786,0.0,0.2,"{'c1': 0.0, 'c2': 0.2}",0.6305480122868717,0.6089630931458699,0.5667881405497818,0.6020997486608411,0.02647841176156748,119,0.6119542376838666,0.59796285200719,0.6486183980412733,0.61951182924411,0.021359369195529148
10,17.019514163335163,0.8392945209936797,3.3084983030954995,0.28964800861800233,0.0,1.0,"{'c1': 0.0, 'c2': 1.0}",0.630622606217155,0.6087890625,0.5669291338582677,0.6021136008584742,0.026427712051035838,118,0.6119350694849935,0.5979180076798438,0.6487394174032698,0.6195308315227024,0.021431684056853893
3,17.245123386383057,0.872041794287058,3.333027442296346,0.2958001773440684,0.0,0.3,"{'c1': 0.0, 'c2': 0.3}",0.6307541625857002,0.6089630931458699,0.5667881405497818,0.6021684654271172,0.026552315883330284,117,0.6119361165592603,0.5980026631158456,0.6486183980412733,0.619519059238793,0.021348129040130587
4,14.973526954650879,1.0122906578061592,3.31654159228007,0.26540551349333785,0.0,0.4,"{'c1': 0.0, 'c2': 0.4}",0.6307541625857002,0.6089630931458699,0.5668136416809142,0.6021769658041615,0.026540989640142856,115,0.6119361165592603,0.5979848195658928,0.6486183980412733,0.6195131113888088,0.021354124586612976
6,18.106472492218018,0.8962850365298441,3.9253896872202554,1.1261662616656318,0.0,0.6,"{'c1': 0.0, 'c2': 0.6}",0.6307541625857002,0.6089630931458699,0.5668136416809142,0.6021769658041615,0.026540989640142856,115,0.6119361165592603,0.5980424795259338,0.6486171353948043,0.6195319104933328,0.02133418255883169
0,15.17340381940206,1.337685994756982,3.3544813791910806,0.2708689697577854,0.0,0.0,"{'c1': 0.0, 'c2': 0.0}",0.63084798575562,0.6089630931458699,0.5667881405497818,0.6021997398170905,0.02658600074144813,113,0.6119399500361887,0.5979541571438081,0.6486499090612322,0.6195146720804097,0.02137829313663213
1,16.0049573580424,1.000862116710247,3.2662763595581055,0.2208143238396086,0.0,0.1,"{'c1': 0.0, 'c2': 0.1}",0.63084798575562,0.6089630931458699,0.5667881405497818,0.6021997398170905,0.02658600074144813,113,0.6119542376838666,0.5979495828155511,0.6486499090612322,0.6195179098535499,0.02137814495963042
7,17.03323729832967,1.001219075705954,3.322203795115153,0.24574712481624394,0.0,0.7,"{'c1': 0.0, 'c2': 0.7}",0.6308103294746216,0.608992823316897,0.5668136416809142,0.6022055981574775,0.026563682364772714,112,0.6119141582794292,0.5980424795259338,0.6486789020778434,0.6195451799610688,0.021364865100488774
5,16.44662880897522,1.2105374737674086,3.2990759213765464,0.2510700381305412,0.0,0.5,"{'c1': 0.0, 'c2': 0.5}",0.6307541625857002,0.608992823316897,0.5669936110861153,0.6022468656629042,0.02646359688811406,111,0.6119361165592603,0.5979848195658928,0.6486020101205605,0.6195076487485712,0.02134667920594387
102,16.83630593617757,1.1270044758102764,3.233671029408773,0.2633733104240273,0.9,0.3,"{'c1': 0.9, 'c2': 0.3}",0.6239857333927774,0.6379900283507673,0.5721809301337863,0.6113855639591104,0.028305271056240873,110,0.6010936623667975,0.6250331946534478,0.6541690728976945,0.6267653099726466,0.021702533928323768
103,17.849093834559124,0.8834415827097717,3.245394229888916,0.25311293370427046,0.9,0.4,"{'c1': 0.9, 'c2': 0.4}",0.6239857333927774,0.63802121523195,0.5721809301337863,0.6113959595861712,0.02831504416181143,109,0.6010936623667975,0.6250719313000752,0.654183603207392,0.6267830656247549,0.021707624468870815
101,16.95421226819356,1.319683480593917,3.2656941413879395,0.2483408691169349,0.9,0.2,"{'c1': 0.9, 'c2': 0.2}",0.6239857333927774,0.6380566010068919,0.5721566295761488,0.611399654658606,0.028337355699620956,108,0.6011404000747803,0.6250331946534478,0.6541400142146411,0.6267712029809563,0.021671875468040742
110,16.82641339302063,1.2642160441974954,3.289620320002238,0.27367599456989555,1.0,0.0,"{'c1': 1.0, 'c2': 0.0}",0.6242094949674891,0.6381459932528235,0.5718897336788005,0.611415073966371,0.02852187335771698,107,0.6008495542174299,0.6246652946513532,0.6539760106619281,0.6264969531769038,0.02172742235521673
100,16.078336397806805,0.2205946913402896,3.277395566304525,0.2710722879667204,0.9,0.1,"{'c1': 0.9, 'c2': 0.1}",0.6239857333927774,0.6380566010068919,0.5723265098105836,0.6114562814034177,0.028258940738982687,106,0.6011263524408197,0.6250940473556096,0.6541400142146411,0.6267868046703567,0.02167581069859911
112,15.974498192469278,0.1869651356631527,3.2144187291463218,0.2879610739585338,1.0,0.2,"{'c1': 1.0, 'c2': 0.2}",0.6242094949674891,0.6381771953843144,0.5721202854230376,0.6115023252582804,0.02842514098378442,104,0.6008168981211344,0.6246901558073654,0.6539008352585747,0.6264692963956915,0.02170791102229324
111,17.73389720916748,0.68103206155349,3.2422122955322266,0.29317334059358086,1.0,0.1,"{'c1': 1.0, 'c2': 0.1}",0.6242094949674891,0.6381771953843144,0.5721202854230376,0.6115023252582804,0.02842514098378442,104,0.6008168981211344,0.6246652946513532,0.6539162112932606,0.6264661346885828,0.02171507208473186
109,16.66730252901713,1.084870582897179,3.2556678454081216,0.27083816461079724,0.9,1.0,"{'c1': 0.9, 'c2': 1.0}",0.6240470777049619,0.6382666536241807,0.5722052327556914,0.6115063213616113,0.02838991322093565,103,0.600864789061587,0.624916987647762,0.6541528755803363,0.6266448840965618,0.021789053227263124
108,15.751624663670858,0.2142945802089076,3.212407430013021,0.25691339280577935,0.9,0.9,"{'c1': 0.9, 'c2': 0.9}",0.624074899687918,0.6382666536241807,0.5722052327556914,0.61151559535593,0.028394012582098335,102,0.6008834459064669,0.6248588821250691,0.6541528755803363,0.6266317345372908,0.021783254863946437
99,17.727571805318195,0.9095969225433587,3.2103184858957925,0.23938069189570652,0.9,0.0,"{'c1': 0.9, 'c2': 0.0}",0.6241640659830584,0.6380566010068919,0.5723265098105836,0.611515725600178,0.0282854097607424,101,0.6010936623667975,0.6249917018875439,0.6541400142146411,0.6267417928229942,0.02169141112365388
104,16.04962666829427,0.3490228053329651,3.3195281823476157,0.22998309473555265,0.9,0.5,"{'c1': 0.9, 'c2': 0.5}",0.624074899687918,0.6383332518217831,0.5721809301337863,0.6115296938811624,0.02842615060970492,99,0.6010936623667975,0.6249916989485335,0.654183603207392,0.6267563215075743,0.021709765455455946
105,16.728444655736286,1.2206708658934473,3.233182748158773,0.23285879319349984,0.9,0.6,"{'c1': 0.9, 'c2': 0.6}",0.624074899687918,0.6383332518217831,0.5721809301337863,0.6115296938811624,0.02842615060970492,99,0.6009955829769332,0.6249916989485335,0.654183603207392,0.6267236283776195,0.02174842612956048
114,18.10472234090169,2.782904680151417,3.8495736122131348,0.698087041045697,1.0,0.4,"{'c1': 1.0, 'c2': 0.4}",0.6241204239779103,0.6383644722684144,0.5721202854230376,0.6115350605564541,0.028470646896278918,98,0.6006535947712419,0.6247841678841811,0.6538265022770188,0.6264214216441473,0.02173859813113329
113,16.734364827473957,1.2990151398705778,3.2069658438364663,0.24532531536110647,1.0,0.3,"{'c1': 1.0, 'c2': 0.3}",0.6242094949674891,0.6383644722684144,0.5721202854230376,0.6115647508863137,0.028483799341147285,97,0.6007235383358618,0.6248007791747832,0.6538564066109829,0.6264602413738759,0.021723118006369863
117,16.145970185597736,1.1130244335160193,3.1444745858510337,0.23761751411619117,1.0,0.7,"{'c1': 1.0, 'c2': 0.7}",0.6240591457711665,0.6382978723404256,0.5723513662827759,0.6115694614647893,0.028334073431796187,96,0.6006956602936714,0.6248782215924187,0.6550950105567285,0.626889630814273,0.022253938266503338
107,17.534412542978924,0.7830682465677247,3.262451171875,0.2908524058514469,0.9,0.8,"{'c1': 0.9, 'c2': 0.8}",0.624074899687918,0.6382666536241807,0.572375127420999,0.6115722269110325,0.028315613199205673,95,0.600916144713471,0.6249474266740453,0.6542126657633444,0.6266920790502869,0.021793158680961367
115,17.437724351882935,1.1128467754466098,3.1686878204345703,0.22425757069715951,1.0,0.5,"{'c1': 1.0, 'c2': 0.5}",0.6240313529883317,0.6383644722684144,0.5723270440251572,0.6115742897606345,0.02836217317061548,94,0.6006535947712419,0.624916987647762,0.6551394599399932,0.6269033474529991,0.022288062496229274
116,15.386745373407999,0.16492480015475797,3.341179132461548,0.5550313146828407,1.0,0.6,"{'c1': 1.0, 'c2': 0.6}",0.6240591457711665,0.6383644722684144,0.5723270440251572,0.6115835540215794,0.028366244897443518,93,0.6006816377982166,0.6248809971882126,0.6550950105567285,0.6268858818477193,0.022259356918123738
106,16.863810141881306,1.1558411962348738,3.2401134173075357,0.2673819401638595,0.9,0.7,"{'c1': 0.9, 'c2': 0.7}",0.624074899687918,0.6383332518217831,0.572375127420999,0.6115944263102334,0.02833655125352704,92,0.600916144713471,0.6249474266740453,0.6542134956243615,0.626692355670626,0.021793508000197075
118,16.337277332941692,1.051551639918626,3.2074971993764243,0.262104020983912,1.0,0.8,"{'c1': 1.0, 'c2': 0.8}",0.6240591457711665,0.6382978723404256,0.5725213548085504,0.6116261243067141,0.02825564936677172,91,0.6006956602936714,0.6248311596288834,0.6550651197937503,0.626863979905435,0.02224273364929543
119,17.075389703114826,0.8341326247925878,3.1557846069335938,0.24829503030926478,1.0,0.9,"{'c1': 1.0, 'c2': 0.9}",0.6240869410297524,0.6382978723404256,0.572545686357841,0.6116434999093396,0.028248503329792916,90,0.6006583708822637,0.6248311596288834,0.6549754395323508,0.626821656681166,0.022219474124754147
120,15.635011116663614,0.43440172494312745,3.1225669384002686,0.19704818125827772,1.0,1.0,"{'c1': 1.0, 'c2': 1.0}",0.6241425389755011,0.6382978723404256,0.572545686357841,0.6116620325579225,0.028256677921056853,89,0.6006864187154164,0.6248311596288834,0.6550191162087667,0.6268455648510222,0.022226918747698925
97,16.916322390238445,1.3104441319694113,3.270944277445475,0.23682421288995004,0.8,0.9,"{'c1': 0.8, 'c2': 0.9}",0.624074899687918,0.6381855508847395,0.572810180275716,0.6116902102827911,0.02808938315820754,88,0.6008788332086762,0.6251272743370667,0.6538444474022804,0.6266168516493411,0.021648759812875572
84,16.156105120976765,0.2803823569292035,3.279185692469279,0.256681085792854,0.7,0.7,"{'c1': 0.7, 'c2': 0.7}",0.6242924002674394,0.6384829675968916,0.5723251770493193,0.6117001816378834,0.028438662533541836,86,0.6012525120343974,0.625392751250166,0.6534802758498348,0.6267085130447995,0.021342184363609393
85,16.997118711471558,1.2290813192017753,3.283050855000814,0.23753600760934848,0.7,0.8,"{'c1': 0.7, 'c2': 0.8}",0.6242924002674394,0.6384829675968916,0.5723251770493193,0.6117001816378834,0.028438662533541836,86,0.6012384624372006,0.625481258574147,0.653554481351723,0.6267580674543569,0.021376999157250047
92,16.224265257517498,0.18352517212912114,3.257783889770508,0.25324187490428546,0.8,0.4,"{'c1': 0.8, 'c2': 0.4}",0.6242197253433208,0.6383498704726527,0.5725553388177425,0.611708311544572,0.02827993052036359,85,0.6009582797709477,0.6249972343297121,0.6538171494477222,0.6265908878494607,0.021608946056858203
96,16.29966640472412,0.3838954660142767,3.268359343210856,0.2623395481818554,0.8,0.8,"{'c1': 0.8, 'c2': 0.8}",0.6241918944223995,0.6382167473236545,0.5727372974807023,0.6117153130755855,0.028150055056330694,84,0.6008788332086762,0.6251217137293087,0.6540074092149337,0.6266693187176395,0.021717239051240695
91,17.763686895370483,0.9425844623985669,3.2547879219055176,0.24174272949456993,0.8,0.3,"{'c1': 0.8, 'c2': 0.3}",0.6242475587461541,0.6383498704726527,0.5725553388177425,0.6117175893455163,0.0282840378872128,83,0.6009442340952649,0.6250138277395518,0.653802648213454,0.6265869033494236,0.02160800640084248
95,21.99319314956665,4.6069861393116875,3.850045839945475,1.0254180459199356,0.8,0.7,"{'c1': 0.8, 'c2': 0.7}",0.6241918944223995,0.6382833121517254,0.5727372974807023,0.6117375013516091,0.02817095359745338,82,0.6008788332086762,0.6251133974997234,0.6538760119773761,0.6266227475619253,0.021662315089698757
86,17.235891819000244,1.1633196425451753,3.3484342892964682,0.27698526333309986,0.7,0.9,"{'c1': 0.7, 'c2': 0.9}",0.6242924002674394,0.6385141739980449,0.5724099910945252,0.6117388551200031,0.028409322075239517,81,0.6012384624372006,0.6254950987984865,0.6535101334870725,0.6267478982409199,0.02135819949369526
82,17.28298846880595,1.0584705102999692,3.290564695994059,0.27394003252918964,0.7,0.5,"{'c1': 0.7, 'c2': 0.5}",0.6242924002674394,0.6386160387040023,0.5723371777476255,0.6117485389063558,0.028474938639714373,80,0.6014394541290835,0.6254065895160755,0.6535553535398329,0.6268004657283307,0.02129904396945481
88,16.36425240834554,0.25776286565440326,3.3052651087443032,0.23291669254858488,0.8,0.0,"{'c1': 0.8, 'c2': 0.0}",0.6244259151915104,0.6383498704726527,0.572470528369095,0.6117487713444193,0.028349655037163763,79,0.600972326103216,0.6250027653031879,0.6535672307112282,0.626514107372544,0.021498358291110353
93,16.81648341814677,1.0842804714364744,3.284628709157308,0.27523126639636597,0.8,0.5,"{'c1': 0.8, 'c2': 0.5}",0.6242197253433208,0.6383810734187114,0.5726524726439901,0.6117510904686742,0.028244909649688687,78,0.6009115344162673,0.6250857357789235,0.6538615091159118,0.6266195931037007,0.021643929000881936
87,18.40817054112752,0.9121515533252609,3.3236515522003174,0.2864349182929913,0.7,1.0,"{'c1': 0.7, 'c2': 1.0}",0.6242924002674394,0.6385765959526835,0.5724099910945252,0.611759662438216,0.02842894109572085,77,0.6012525120343974,0.6254950987984865,0.6535817254380129,0.6267764454236322,0.021382516701589173
83,17.80126468340556,0.9342951270269441,3.270453453063965,0.26749684259060114,0.7,0.6,"{'c1': 0.7, 'c2': 0.6}",0.6243202282250155,0.6386160387040023,0.5723614468049018,0.6117659045779732,0.028467830014539862,76,0.6012384624372006,0.6254065895160755,0.6535399898002173,0.6267283472511646,0.02137245460491608
98,16.999783039093018,1.141442341733502,3.2616539001464844,0.27018583751393593,0.8,1.0,"{'c1': 0.8, 'c2': 1.0}",0.624074899687918,0.6384976525821597,0.5727496394332738,0.6117740639011172,0.028215636670079442,75,0.6008788332086762,0.6251549495307243,0.6538000798615733,0.6266112875336579,0.021629536550872356
