,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_c1,param_c2,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,8.433292865753174,0.44055856168016433,2.0631449222564697,0.18170604011926375,0.0,0.0,"{'c1': 0.0, 'c2': 0.0}",0.6042840037252207,0.5964089775561097,0.5570816587907963,0.5859248800240423,0.020647075137874015,121,0.5846900219247096,0.5926807898816077,0.6263741318246631,0.6012483145436601,0.018063648831543908
1,8.825337171554565,0.47357219743390144,2.041496992111206,0.14793665963068026,0.0,0.1,"{'c1': 0.0, 'c2': 0.1}",0.604222103956005,0.5964089775561097,0.557258313827673,0.5859631317799292,0.020546470358503804,120,0.5845967252880533,0.5925909284927998,0.6263741318246631,0.6011872618685054,0.018106364164035313
2,9.074529886245728,0.5051744026499129,2.037153641382853,0.146421214608616,0.0,0.2,"{'c1': 0.0, 'c2': 0.2}",0.604222103956005,0.5964089775561097,0.5574349688645498,0.5860220167922215,0.02046420807083159,119,0.5845967252880533,0.5926042415528398,0.6263281357803229,0.6011763675404054,0.018082932346619
3,9.14718763033549,0.5075985711651605,2.046297470728556,0.14129530424143702,0.0,0.3,"{'c1': 0.0, 'c2': 0.3}",0.604248902292988,0.5966084788029925,0.557258313827673,0.5860385649745512,0.02058836499635422,117,0.5845967252880533,0.5926175552110714,0.6263425404199536,0.601185606973026,0.01808750772408683
4,9.146085818608602,0.45069513554360047,2.050628980000814,0.18043218663305266,0.0,0.4,"{'c1': 0.0, 'c2': 0.4}",0.604248902292988,0.5966084788029925,0.557258313827673,0.5860385649745512,0.02058836499635422,117,0.5845967252880533,0.5926175552110714,0.6262821397359827,0.6011654734117023,0.01805950578130383
7,9.128218332926432,0.8253443245043464,2.0854376951853433,0.14783283778369383,0.0,0.7,"{'c1': 0.0, 'c2': 0.7}",0.6041869954759159,0.5966977602633811,0.557258313827673,0.5860476898556567,0.02058548501699921,115,0.5846103608331584,0.5926308694675354,0.6263741318246631,0.6012051207084523,0.018095883143493984
8,9.4741423924764,0.4386962028763372,2.0667765935262046,0.15490996053870112,0.0,0.8,"{'c1': 0.0, 'c2': 0.8}",0.6041869954759159,0.5966977602633811,0.557258313827673,0.5860476898556567,0.02058548501699921,115,0.5846239970143683,0.5926624879243333,0.6263109475620975,0.601199144166933,0.018057433120379034
5,8.982104619344076,0.7349868021088771,2.062016566594442,0.14018432679999873,0.0,0.5,"{'c1': 0.0, 'c2': 0.5}",0.6042757030071855,0.5966977602633811,0.557258313827673,0.5860772590327465,0.020611566430960827,113,0.5845967252880533,0.5926624879243333,0.6262821397359827,0.6011804509827897,0.01805242763772289
6,8.912383715311686,0.8062358366066232,2.0709360440572104,0.16555288827658687,0.0,0.6,"{'c1': 0.0, 'c2': 0.6}",0.6042757030071855,0.5966977602633811,0.557258313827673,0.5860772590327465,0.020611566430960827,113,0.5846103608331584,0.5926758031902943,0.6264201278690034,0.6012354306308186,0.018110118191006556
9,9.33522899945577,0.4935076932796879,2.0531097253163657,0.15945973327896001,0.0,0.9,"{'c1': 0.0, 'c2': 0.9}",0.6042137946329562,0.5967275266886163,0.5573466413461113,0.5860959875558946,0.020557313906103228,112,0.5846376338317278,0.5924062008537406,0.6263109475620975,0.6011182607491886,0.018094036955746115
10,9.336695512135824,0.41887363326983446,2.034922440846761,0.1664399869903522,0.0,1.0,"{'c1': 0.0, 'c2': 1.0}",0.6042137946329562,0.59689574287568,0.5573466413461113,0.5861520596182492,0.020586444759520012,111,0.5845852384062704,0.5924062008537406,0.6263109475620975,0.6011007956073695,0.018109954621451357
99,9.265323162078857,0.9438703745906334,2.0704050064086914,0.17918265014317183,0.9,0.0,"{'c1': 0.9, 'c2': 0.0}",0.617274569402229,0.6412790155681924,0.5325776467921107,0.5970437439208441,0.0466258985128231,110,0.5801262878032569,0.6238111413043478,0.6011735756199129,0.6017036682425059,0.017838205346845448
101,9.1302543481191,0.909876896968752,2.023937225341797,0.14964925301847976,0.9,0.2,"{'c1': 0.9, 'c2': 0.2}",0.6172161945370879,0.6415586836953481,0.5325352559742438,0.5971033780688932,0.04672558890463322,109,0.580399282089916,0.6238590532795585,0.6012682188150673,0.6018421847281806,0.01774701863442763
100,9.354256788889566,0.4749972587100096,2.0530178546905518,0.1489763578415288,0.9,0.1,"{'c1': 0.9, 'c2': 0.1}",0.6172161945370879,0.6415586836953481,0.5326017955926363,0.5971255579416908,0.04669493994972721,108,0.5803421075954976,0.6238111413043478,0.6012682188150673,0.6018071559049709,0.01775025000359981
114,9.033862908681234,0.8552508995432706,2.075077215830485,0.17571119863961968,1.0,0.4,"{'c1': 1.0, 'c2': 0.4}",0.6281345822657202,0.6407948131909138,0.5233200161601651,0.5974164705389331,0.052648417357653056,107,0.6112385321100918,0.6236778386644577,0.5904957328731988,0.6084707012159161,0.01368718870768427
118,9.645908991495768,0.6598644754414248,2.0432941913604736,0.18598024772004143,1.0,0.8,"{'c1': 1.0, 'c2': 0.8}",0.6280457066039321,0.6407015252577078,0.5238180676415178,0.5975217665010526,0.05237186812040763,106,0.6112311967885657,0.6234179903168267,0.5917854149203688,0.608811534008587,0.013026793735215059
117,9.40958038965861,1.0231181339190945,2.043442885080973,0.15133100975116762,1.0,0.7,"{'c1': 1.0, 'c2': 0.7}",0.6280193236714976,0.6407649253731343,0.5238180676415178,0.5975341055620499,0.05238417875472316,105,0.6112483458314953,0.623516170818203,0.5917854149203688,0.6088499771900224,0.013064566495353877
120,8.92591635386149,0.8753467387349508,2.013573328653971,0.14839608935757495,1.0,1.0,"{'c1': 1.0, 'c2': 1.0}",0.6281033396345306,0.6405112894196678,0.5240209931368592,0.5975452073970192,0.05223566384759271,104,0.6113157604499835,0.623516170818203,0.5918975552968568,0.6089098288550144,0.013019871786399708
111,9.45321528116862,0.5869505741896661,2.0817553202311196,0.1627594757619824,1.0,0.1,"{'c1': 1.0, 'c2': 0.1}",0.6285738276166086,0.6407948131909138,0.5233200161601651,0.5975628856558958,0.052734181674520014,102,0.6119866863579253,0.6236381013061484,0.5900347408426403,0.6085531761689046,0.013931695344876878
110,9.559076150258383,0.43292440818595074,2.0601179599761963,0.15260534447036203,1.0,0.0,"{'c1': 1.0, 'c2': 0.0}",0.6285738276166086,0.6407948131909138,0.5233200161601651,0.5975628856558958,0.052734181674520014,102,0.6119597081707774,0.6236381013061484,0.5899988343629794,0.6085322146133018,0.013945390019246464
116,11.156842549641928,2.4768024051950954,2.5693204402923584,0.6999562286718078,1.0,0.6,"{'c1': 1.0, 'c2': 0.6}",0.6280193236714976,0.6408582089552238,0.5238180676415178,0.597565200089413,0.05240985214027177,101,0.6112826393789696,0.6235851260379283,0.5917716361265686,0.6088798005144888,0.013098467112389925
119,9.266126235326132,0.9627394411456934,2.0439395109812417,0.15851438740744903,1.0,0.9,"{'c1': 1.0, 'c2': 0.9}",0.6280457066039321,0.6405747072818025,0.5242004216570224,0.5976069451809191,0.05215765994491962,100,0.611288792818228,0.623516170818203,0.5918785508056252,0.6088945048140187,0.013026491246696487
115,9.316587289174398,0.5471136110202769,2.0379793643951416,0.15768297006100027,1.0,0.5,"{'c1': 1.0, 'c2': 0.5}",0.6281609678232379,0.6407948131909138,0.5238842789863197,0.5976133533334904,0.052388839875566126,99,0.6112385321100918,0.6236750993011746,0.5917716361265686,0.6088950891792784,0.013129522311971734
112,9.617323319117228,0.46253220024402547,2.0491220156351724,0.15488959076998804,1.0,0.2,"{'c1': 1.0, 'c2': 0.2}",0.6287417607792098,0.6407948131909138,0.5233200161601651,0.5976188633767628,0.05276714913274691,98,0.6119866863579253,0.6236513465296067,0.5903749300503638,0.6086709876459653,0.013785871194484543
113,9.826566219329834,0.6228522638209334,2.0534390608469644,0.14267756410475915,1.0,0.3,"{'c1': 1.0, 'c2': 0.3}",0.6288257273605106,0.6407948131909138,0.5233200161601651,0.5976468522371965,0.05278366966414462,97,0.6118508068071599,0.6236778386644577,0.5904024623420231,0.6086437026045468,0.013772600949584013
93,9.726210196812948,0.5939087511596164,2.0611396630605063,0.15558036054869417,0.8,0.5,"{'c1': 0.8, 'c2': 0.5}",0.6170733766782065,0.6434863668142624,0.53297052154195,0.5978434216781396,0.047122403667058915,96,0.5806780412142699,0.6230336482326716,0.6013770910725693,0.6016962601731702,0.017293076903015327
94,9.131465593973795,0.07955232733041477,2.1339813073476157,0.11768285951446901,0.8,0.6,"{'c1': 0.8, 'c2': 0.6}",0.6171317600371513,0.6435163605854386,0.5329039865753549,0.5978507023993149,0.04717056786289404,95,0.5806780412142699,0.623046875,0.6014717365071103,0.6017322175737935,0.017297984600915816
95,9.664443016052246,0.5906540421770107,2.0602704683939614,0.15480666912498403,0.8,0.7,"{'c1': 0.8, 'c2': 0.7}",0.6171317600371513,0.6435163605854386,0.5329281567489114,0.5978587591238337,0.04715947504726828,93,0.5806780412142699,0.6230893342391304,0.6015806161563579,0.6017826638699194,0.017314927306981125
96,8.999870936075846,0.09749250251277598,2.0562210083007812,0.16133728667102645,0.8,0.8,"{'c1': 0.8, 'c2': 0.8}",0.6171317600371513,0.6435163605854386,0.5329281567489114,0.5978587591238337,0.04715947504726828,93,0.5806780412142699,0.6230573248407644,0.6015806161563579,0.6017719940704641,0.017301799314969547
92,9.290237744649252,0.5134116326509076,2.057327667872111,0.1617165427260285,0.8,0.4,"{'c1': 0.8, 'c2': 0.4}",0.6170733766782065,0.643299930086227,0.5333756575367313,0.5979163214337215,0.0468762981908351,92,0.5806394434227726,0.6230628794633379,0.6013344059054558,0.6016789095971888,0.017321008312974492
91,9.615898211797079,0.4739368034367703,2.0625863869984946,0.1450957595966969,0.8,0.3,"{'c1': 0.8, 'c2': 0.3}",0.6172161945370879,0.643299930086227,0.5334240362811792,0.5979800536348313,0.04687358778298027,91,0.5806265786325165,0.6231610232459399,0.6013674971017577,0.6017183663267381,0.017366386623836938
77,9.301597754160563,0.8133849095364999,2.0544270674387612,0.17540439993827678,0.7,0.0,"{'c1': 0.7, 'c2': 0.0}",0.6176967240797028,0.6438624289309349,0.5326318653907206,0.5980636728004528,0.047484398092206094,90,0.5803620892148824,0.6239653635553291,0.6014952209709473,0.601940891247053,0.01780375147355778
88,9.410197655359903,0.4838849490578721,2.066313902537028,0.15622589795823053,0.8,0.0,"{'c1': 0.8, 'c2': 0.0}",0.6178978471929084,0.643299930086227,0.5330310587168441,0.5980762786653265,0.047148537852476385,89,0.5807209163214214,0.6229911898949156,0.6012255423853123,0.6016458828672164,0.017259326398309148
87,9.302339792251587,0.9295549384969051,2.0413461526234946,0.15998841854317478,0.7,1.0,"{'c1': 0.7, 'c2': 1.0}",0.6171838716487228,0.6437660219063155,0.533284962815164,0.598078285456734,0.04708349797455762,88,0.5811685433105771,0.6234609832724801,0.6019307211811471,0.6021867492547348,0.017266765423082607
86,9.526981751124064,0.44874489753533775,2.0459709962209067,0.16411423374484135,0.7,0.9,"{'c1': 0.7, 'c2': 0.9}",0.6170994300189994,0.6436728035422978,0.5335147392290249,0.5980956575967741,0.04693653380199402,87,0.5811556619456081,0.6234449963911178,0.6018503182452736,0.6021503255273332,0.01726585175499143
90,9.300400416056315,0.5047020440182501,2.04277769724528,0.16281787762059868,0.8,0.2,"{'c1': 0.8, 'c2': 0.2}",0.6176383670367712,0.643299930086227,0.5334240362811792,0.5981207778013924,0.046931725069759685,86,0.5806394434227726,0.6229911898949156,0.6013674971017577,0.6016660434731487,0.01729131679508673
78,9.879748741785685,0.8600494390530973,2.04679282506307,0.15831565056756175,0.7,0.1,"{'c1': 0.7, 'c2': 0.1}",0.6178655859506924,0.6438624289309349,0.5326984126984127,0.59814214252668,0.04747715444724464,85,0.580849602233696,0.6239361589235307,0.6014952209709473,0.6020936607093913,0.01759510233818865
89,9.197225968043009,0.869795344775488,2.061396598815918,0.17351867189496264,0.8,0.1,"{'c1': 0.8, 'c2': 0.1}",0.6179239309384102,0.643299930086227,0.5332124234867377,0.5981454281704582,0.04706879118998463,84,0.5806580259222333,0.6229911898949156,0.6013059524936122,0.6016517227702537,0.017284171194046495
66,9.369526863098145,0.3824440013435498,2.0624653498331704,0.16492627651601588,0.6,0.0,"{'c1': 0.6, 'c2': 0.0}",0.6172568241358912,0.6442383859093239,0.5329645415797588,0.5981532505416579,0.047393227371448944,83,0.580610819083106,0.6238859180035651,0.601859518796281,0.602118751960984,0.01766793608054134
67,9.785081227620443,0.7001360039434005,2.0681893030802407,0.15620885689561462,0.6,0.1,"{'c1': 0.6, 'c2': 0.1}",0.6173350800828297,0.6442383859093239,0.5328980184101936,0.5981571614674491,0.047434261742078175,82,0.5805664603987846,0.6238434767846532,0.6018452803406671,0.602085072508035,0.01766858156971171
69,9.181883096694946,0.9072683093250815,2.026881138483683,0.16254194270323627,0.6,0.3,"{'c1': 0.6, 'c2': 0.3}",0.6172766460992308,0.6441120275874924,0.5331700902371559,0.598186254641293,0.0472607000249642,81,0.5806050927158194,0.6238567154043674,0.601859518796281,0.6021071089721559,0.017658268921754892
68,9.396223783493042,0.5647088734259452,2.062222401301066,0.15599069335125418,0.6,0.2,"{'c1': 0.6, 'c2': 0.2}",0.6172766460992308,0.6442383859093239,0.5331035733720297,0.5982062017935281,0.04733214569358095,80,0.5806050927158194,0.6238859180035651,0.6019068347961863,0.602132615171857,0.01767004417992251
81,9.325732628504435,0.5314418004545507,2.6026245752970376,0.9216273971494069,0.7,0.4,"{'c1': 0.7, 'c2': 0.4}",0.6177811550151976,0.6437360178970918,0.5331277493084213,0.5982149740735703,0.04722763207788594,79,0.5811098306887686,0.6239147508968563,0.601480990797038,0.6021685241275543,0.017481796724319015
80,9.859339316685995,0.2993510420624791,2.06740665435791,0.15417723802959166,0.7,0.3,"{'c1': 0.7, 'c2': 0.3}",0.6177811550151976,0.6438624289309349,0.5330370504739015,0.5982268781400114,0.0473099245093441,78,0.5809325414413616,0.6239015071110167,0.601480990797038,0.6021050131164721,0.017547555491128707
79,9.724093198776245,0.48859316645143214,2.0728646914164224,0.16440499404219439,0.7,0.2,"{'c1': 0.7, 'c2': 0.2}",0.6178655859506924,0.6438624289309349,0.5330370504739015,0.5982550217851762,0.04732157223158407,77,0.5809954350042105,0.6239174732552215,0.601353269612946,0.6020887259574593,0.01753056405122831
83,9.438766558965048,0.6425416363890943,2.063841978708903,0.16014097958513646,0.7,0.6,"{'c1': 0.7, 'c2': 0.6}",0.6177811550151976,0.6436728035422978,0.5333333333333334,0.5982624306302763,0.04711287950380184,75,0.5810283687943262,0.6237581727095186,0.6016467915956842,0.6021444443665097,0.017447918297377317
84,9.254878362019857,0.9229148468669471,2.0553995768229165,0.167842360958926,0.7,0.7,"{'c1': 0.7, 'c2': 0.7}",0.6177811550151976,0.6436728035422978,0.5333333333333334,0.5982624306302763,0.04711287950380184,75,0.5811742281522198,0.6234609832724801,0.6017556728107328,0.6021302947451442,0.017265527713636465
82,9.357829411824545,0.9693657598979322,2.069147825241089,0.15902432998538313,0.7,0.5,"{'c1': 0.7, 'c2': 0.5}",0.6177811550151976,0.6437360178970918,0.5333333333333334,0.5982835020818743,0.0471331945458996,74,0.5810598169366813,0.6237873866989323,0.6013721315353678,0.6020731117236605,0.017450498261564352
85,9.779533465703329,0.5540730531758299,2.076306184132894,0.16463245924346992,0.7,0.8,"{'c1': 0.7, 'c2': 0.8}",0.6177811550151976,0.6436728035422978,0.5335147392290249,0.5983228992621735,0.04702954795320608,73,0.5811427811516469,0.623474218269047,0.6017556728107328,0.6021242240771422,0.017283701660486973
71,9.42991828918457,0.4909978876397619,2.0328245162963867,0.15651482771849404,0.6,0.5,"{'c1': 0.6, 'c2': 0.5}",0.6178916705365813,0.6441120275874924,0.5332366010701007,0.5984134330647248,0.047313784831420305,71,0.5813814346178563,0.6237426255252324,0.6019729838423505,0.6023656813284798,0.017296112901641614
70,9.23830270767212,0.4954923630533564,2.041619141896566,0.14506450078419286,0.6,0.4,"{'c1': 0.6, 'c2': 0.4}",0.6178916705365813,0.6441120275874924,0.5332366010701007,0.5984134330647248,0.047313784831420305,71,0.5812355965254389,0.623827511565723,0.6019541507960916,0.6023390862957512,0.017390206788187222
72,9.58495291074117,0.5558912923422922,2.062230189641317,0.1602022553447394,0.6,0.6,"{'c1': 0.6, 'c2': 0.6}",0.6177811550151976,0.6441120275874924,0.5334179740636619,0.5984370522221173,0.047215386658984435,70,0.5812670345010968,0.6237691001697793,0.6021622388871803,0.6023994578526854,0.017352206414064365
74,9.124980608622232,0.8629882277283665,2.083981434504191,0.13396804759519707,0.6,0.8,"{'c1': 0.6, 'c2': 0.8}",0.6177811550151976,0.6441420449249697,0.5333998458119813,0.5984410152507162,0.047233388054619796,68,0.5812484765218162,0.6237398926123221,0.6022192254004307,0.602402531511523,0.017347532220115123
73,9.748330036799112,0.5752906447378274,2.0825905005137124,0.15648383027377166,0.6,0.7,"{'c1': 0.6, 'c2': 0.7}",0.6177811550151976,0.6441420449249697,0.5333998458119813,0.5984410152507162,0.047233388054619796,68,0.5812670345010968,0.6237266553480475,0.602280793072446,0.6024248276405301,0.01733436682978458
75,9.779227574666342,0.6153942571184057,2.0742697715759277,0.13397811502992038,0.6,0.9,"{'c1': 0.6, 'c2': 0.9}",0.6177811550151976,0.6441420449249697,0.5334240362811792,0.5984490787404488,0.047222284565172176,66,0.5812613570890396,0.6236682371917315,0.6023138618780609,0.6024144853862774,0.01731268251559774
76,9.389056046803793,1.048628620216797,2.075587431589762,0.13420876289399628,0.6,1.0,"{'c1': 0.6, 'c2': 1.0}",0.6177811550151976,0.6441420449249697,0.5334240362811792,0.5984490787404488,0.047222284565172176,66,0.5812113556279503,0.6236947109262247,0.6023138618780609,0.6024066428107453,0.017343881256819023
56,8.661102771759033,0.7418877668351163,2.030068794886271,0.15495711867263695,0.5,0.1,"{'c1': 0.5, 'c2': 0.1}",0.6185828368614527,0.6442809239940388,0.5327831685861975,0.5985489764805629,0.04767217243191559,65,0.5806408692759729,0.624305408271474,0.6021200075714556,0.6023554283729675,0.017826750659944476
57,9.276046514511108,0.577918428572968,2.0300851662953696,0.19101440125556554,0.5,0.2,"{'c1': 0.5, 'c2': 0.2}",0.6186612576064909,0.6442809239940388,0.5327831685861975,0.5985751167289091,0.04768317073323496,64,0.5808125609864278,0.624305408271474,0.602261972364187,0.6024599805406963,0.01775643257467673
59,9.13017455736796,0.9445581653604939,2.0508627891540527,0.15924725302989357,0.5,0.4,"{'c1': 0.5, 'c2': 0.4}",0.6187135491505368,0.6442777958917508,0.5328073278012062,0.5985995576144979,0.04767840745183759,63,0.580781087134905,0.6242178717627844,0.6024227511474944,0.6024739033483947,0.017733029955668216
58,9.500230153401693,0.5815139372004409,2.035005489985148,0.15374416912222397,0.5,0.3,"{'c1': 0.5, 'c2': 0.3}",0.6186612576064909,0.6443409408476944,0.5328073278012062,0.5986031754184639,0.047691241023883196,62,0.5808125609864278,0.6242443525294304,0.6023092939617642,0.6024554024925408,0.017731255641489585
